code,name,close,pct_chg,amount,total_mv,float_mv,pe,pb,turnover
920000,安徽凤凰,14.35,-3.041,2162716.0,,,,,
920001,纬达光电,17.01,-4.384,53983031.0,,,,,
920002,DR万达轴,66.46,-4.47,53680634.0,,,,,
920003,中诚咨询,28.64,-0.762,1576623.0,,,,,
920005,鼎佳精密,31.75,-0.063,846969.0,,,,,
920006,晟楠科技,16.9,-1.227,5805771.0,,,,,
920007,酉立智能,45.33,-0.505,1805665.0,,,,,
920008,成电光信,22.75,-0.612,7157454.0,,,,,
920009,丹娜生物,38.4,-1.361,1969887.0,,,,,
920010,凯添燃气,10.92,-2.847,19415370.0,,,,,
920011,晨光电机,25.8,-2.162,41720079.0,,,,,
920012,创达新材,81.4,20.272,188028813.0,,,,,
920014,特瑞斯,10.09,-2.229,4705741.0,,,,,
920015,锦华新材,43.5,0.928,19849449.0,,,,,
920016,中草香料,14.51,-1.56,1577110.0,,,,,
920017,星昊医药,16.24,-1.456,4646274.0,,,,,
920018,宏远股份,25.3,0.079,5334304.0,,,,,
920019,铜冠矿建,17.84,-2.673,20138622.0,,,,,
920020,泰凯英,14.65,-1.014,1458025.0,,,,,
920021,流金科技,9.6,4.009,85522839.0,,,,,
920022,世昌股份,23.62,0.725,849897.0,,,,,
920023,*ST田野,2.28,-2.564,8315062.0,,,,,
920026,卓兆点胶,31.42,-2.422,9155654.0,,,,,
920027,交大铁发,16.34,-0.729,1459126.0,,,,,
920028,新恒泰,18.99,0.423,20225943.0,,,,,
920029,开发科技,67.76,1.029,12783029.0,,,,,
920030,德众汽车,4.94,-2.947,2334513.0,,,,,
920033,康普化学,15.92,-2.151,2468626.0,,,,,
920035,精创电气,27.35,-0.11,2683656.0,,,,,
920036,觅睿科技,41.35,0.17,8057377.0,,,,,
920037,广信科技,47.3,2.182,19937735.0,,,,,
920039,国义招标,8.13,-1.812,2026511.0,,,,,
920045,蘅东光,561.39,-4.069,174965922.0,,,,,
920046,亿能电力,27.73,-0.036,37358992.0,,,,,
920047,诺思兰德,29.26,0.584,29874303.0,,,,,
920050,爱舍伦,29.81,-0.832,2733598.0,,,,,
920055,XD隆源股,31.16,0.032,4660816.0,,,,,
920056,能之光,20.3,-1.742,5310035.0,,,,,
920057,百甲科技,5.33,-3.091,3082785.0,,,,,
920058,华洋赛车,30.06,7.242,35779963.0,,,,,
920060,万源通,29.23,-1.913,37846004.0,,,,,
920061,西磁科技,22.74,-1.044,6143365.0,,,,,
920062,科润智控,10.19,1.393,8923752.0,,,,,
920066,科拜尔,23.32,-0.427,2149139.0,,,,,
920068,天工股份,17.85,-2.084,8289730.0,,,,,
920069,普昂医疗,37.89,2.655,10335416.0,,,,,
920075,柏星龙,19.07,-1.498,4539455.0,,,,,
920076,国亮新材,20.52,0.539,3593688.0,,,,,
920077,吉林碳谷,16.02,-1.111,20791707.0,,,,,
920078,族兴新材,32.06,-0.435,29438752.0,,,,,
920080,奥美森,23.05,0.305,1537071.0,,,,,
920082,DR方正阀,9.11,-4.407,5653358.0,,,,,
920086,科马材料,28.9,-2.431,15206627.0,,,,,
920087,秋乐种业,11.17,-2.36,7000269.0,,,,,
920088,科力股份,34.48,-4.222,47322742.0,,,,,
920089,禾昌聚合,16.0,-0.374,4392352.0,,,,,
920090,*ST同辉,4.19,-3.233,5199147.0,,,,,
920091,大鹏工业,43.2,-1.257,7342496.0,,,,,
920092,汉鑫科技,31.54,1.611,14181212.0,,,,,
920096,嘉晨智能,67.9,5.763,158363993.0,,,,,
920098,科隆新材,23.41,-2.499,9554060.0,,,,,
920099,瑞华技术,30.29,0.132,7333070.0,,,,,
920100,DR三协电,43.98,-6.604,108065772.0,,,,,
920101,志高机械,30.6,-1.608,3014471.0,,,,,
920106,林泰新材,45.51,0.575,7122443.0,,,,,
920108,宏海科技,10.18,-0.973,1584482.0,,,,,
920110,雷特科技,27.38,-0.109,2484101.0,,,,,
920111,聚星科技,29.34,1.172,21314850.0,,,,,
920112,巴兰仕,29.0,-0.069,2032922.0,,,,,
920116,星图测控,64.62,0.827,43465035.0,,,,,
920118,太湖远大,20.14,-1.612,3224981.0,,,,,
920119,美德乐,58.51,0.36,7388227.0,,,,,
920121,江天科技,33.88,-1.109,931428.0,,,,,
920122,中纺标,22.25,-2.155,2789173.0,,,,,
920123,芭薇股份,11.04,-1.517,1662637.0,,,,,
920124,南特科技,15.26,-1.038,6567651.0,,,,,
920125,鸿仕达,216.0,16.129,382746593.0,,,,,
920128,胜业电气,25.79,-1.226,5340605.0,,,,,
920130,立方控股,16.42,-1.084,3619498.0,,,,,
920132,泰鹏智能,12.09,-2.105,959295.0,,,,,
920139,华岭股份,19.69,1.6,67722799.0,,,,,
920145,恒合股份,11.95,-4.17,5099458.0,,,,,
920146,华阳变速,5.84,-0.171,1615121.0,,,,,
920149,旭杰科技,8.66,-1.591,1513647.0,,,,,
920152,昆工科技,17.14,-1.21,4671557.0,,,,,
920156,海昌智能,62.61,5.493,76234470.0,,,,,
920158,长江能科,9.83,-2.383,4734938.0,,,,,
920159,农大科技,34.59,-0.603,4722385.0,,,,,
920160,北矿检测,21.53,-0.139,2906280.0,,,,,
920161,N龙辰,47.5,415.744,1020960026.0,,,,,
920163,方大新材,10.61,-2.302,1313575.0,,,,,
920166,海圣医疗,23.1,-0.645,1772122.0,,,,,
920167,同享科技,18.13,1.285,11115018.0,,,,,
920168,通宝光电,19.45,-0.765,2526389.0,,,,,
920169,七丰精工,22.85,-3.301,10410473.0,,,,,
920171,志晟信息,20.46,-2.011,17612355.0,,,,,
920174,五新智能,38.27,-0.649,14833280.0,,,,,
920175,东方碳素,9.07,-2.052,1572963.0,,,,,
920177,恒道科技,33.79,1.289,11764887.0,,,,,
920178,锐翔智能,184.46,-4.913,255279535.0,,,,,
920179,凯德石英,63.66,-0.157,100176268.0,,,,,
920180,爱得科技,13.7,-0.797,2239814.0,,,,,
920181,赛英电子,113.68,6.812,91113519.0,,,,,
920183,海菲曼,38.51,-0.44,5163858.0,,,,,
920184,国源科技,12.87,-2.5,6665489.0,,,,,
920185,贝特瑞,27.09,1.158,55419060.0,,,,,
920186,中科仪,100.1,6.91,565673603.0,,,,,
920187,DR通领科,22.16,-3.147,7280677.0,,,,,
920188,悦龙科技,26.41,0.994,8210488.0,,,,,
920190,雷神科技,21.53,-2.136,6742738.0,,,,,
920191,瑞尔竞达,11.26,-1.401,8502991.0,,,,,
920195,三祥科技,14.2,-1.457,3156139.0,,,,,
920198,微创光电,8.97,-2.074,8527191.0,,,,,
920199,倍益康,26.3,-12.099,44398050.0,,,,,
920200,振宏股份,53.0,-0.188,47245532.0,,,,,
920204,沪江材料,14.49,-1.429,2516790.0,,,,,
920207,众诚科技,25.65,-2.062,13775267.0,,,,,
920208,青矩技术,20.27,-1.697,4187591.0,,,,,
920212,智新电子,10.95,-1.617,1985348.0,,,,,
920220,朗信电气,83.0,-3.151,112244927.0,,,,,
920221,易实精密,16.27,-5.736,28591709.0,,,,,
920223,荣亿精密,14.46,-1.7,7767028.0,,,,,
920225,利通科技,22.08,-1.604,10045278.0,,,,,
920227,美登科技,56.96,-0.611,3486420.0,,,,,
920230,欧康医药,10.43,-2.705,2611256.0,,,,,
920237,力佳科技,15.71,-0.57,5529148.0,,,,,
920239,长虹能源,27.03,-0.332,15455154.0,,,,,
920242,建邦科技,23.36,-2.504,2651431.0,,,,,
920245,威博液压,21.5,-2.935,1565564.0,,,,,
920247,华密新材,17.5,-3.793,21476045.0,,,,,
920249,利尔达,9.22,-4.654,35122780.0,,,,,
920252,天宏锂电,21.23,-0.794,17334543.0,,,,,
920260,中寰股份,8.4,-2.439,2540306.0,,,,,
920261,一诺威,13.94,-1.205,11475613.0,,,,,
